"Loja","Iteracao","MAE_mlpe","NMAE_mlpe","RMSE_mlpe","RRSE_mlpe","MAE_naive","NMAE_naive","RMSE_naive","RRSE_naive"
"Lancaster",3,19.2703707759386,1.03492861310089,21.2508205008729,52.6510455258571,10.5714285714286,0.567745895350621,12.3056316956332,30.4884404159641
"Lancaster",4,9.69094944087286,0.520459153645159,11.5596462042944,25.7665147986871,28,1.50375939849624,32.6890108227739,72.8639844363526
"Lancaster",5,30.8687262092085,1.65782632702516,34.8724687527253,76.0780060446376,27.4285714285714,1.47307043117999,37.1098754665501,80.959147173637
"Lancaster",6,35.1682836369825,1.88873703743193,37.5963690465824,109.581905405553,29.8571428571429,1.60349854227405,37.8247840141128,110.247665105223
"Lancaster",7,26.1436370397747,1.4040621396227,29.5440013726776,79.3831686629521,6.42857142857143,0.34525088230781,8.13282590142302,21.8524729299583
"Lancaster",8,15.649389003057,0.84046127835967,19.5579898476832,57.8388562609203,10.5714285714286,0.567745895350621,11.9043809462855,35.2048336147904
"Lancaster",9,88.5001021271986,4.75295929791614,203.334794506083,98.7707851843463,84.8571428571428,4.5573116464631,198.787036082049,96.5616912048248
"Lancaster",10,74.1743681037987,3.98358582727168,84.3563581487541,41.1825847942193,213,11.4393125671321,310.11173101688,151.395851344887
"Lancaster",11,33.6828142994503,1.8089588775215,47.2733027173515,218.340091248622,136.142857142857,7.31164646309652,242.067582062767,1118.03184710677
"Lancaster",12,14.982980757879,0.804671361862459,17.4758176888538,67.1619866771933,6,0.322234156820623,7.74596669241483,29.7688223269666
