"Avaliacao","Lucro_Mediana","Lucro_Min","Lucro_Max"
579,481,216,637
580,481,216,637
581,481,216,637
582,481,216,637
583,481,216,637
584,481,216,637
585,481,216,637
586,481,216,637
587,481,216,637
588,481,216,637
589,481,216,637
590,481,216,637
591,481,216,637
592,481,216,637
593,481,216,637
594,481,216,637
595,481,216,637
596,481,216,637
597,481,216,637
598,481,216,637
599,481,216,637
600,481,216,637
601,481,216,637
602,481,216,637
603,481,216,637
604,492,216,637
605,492,216,637
606,492,216,637
607,492,216,637
608,492,216,637
609,492,216,637
610,492,216,637
611,492,216,637
612,492,216,637
613,492,216,637
614,492,216,637
615,492,216,637
616,492,216,637
617,492,216,637
618,492,216,637
619,492,216,637
620,492,216,637
621,492,216,637
622,492,275,637
623,492,275,637
624,503,275,637
625,503,275,637
626,503,275,637
627,503,275,637
628,503,275,637
629,503,275,637
630,503,275,637
631,503,275,637
632,503,275,637
633,503,275,637
634,503,275,637
635,503,275,637
636,503,275,637
637,503,275,637
638,503,275,637
639,503,275,637
640,503,275,637
641,503,275,637
642,503,275,637
643,503,275,637
644,503,275,637
645,503,275,637
646,503,275,637
647,503,275,637
648,503,275,637
649,503,275,637
650,503,275,637
651,503,275,637
652,503,275,637
653,503,275,637
654,503,275,637
655,503,275,637
656,503,275,637
657,503,275,637
658,503,275,637
659,503,275,637
660,503,275,637
661,503,275,637
662,503,275,637
663,503,275,637
664,503,275,637
665,503,275,637
666,503,275,637
667,503,275,637
668,507,275,637
669,507,275,637
670,507,275,637
671,507,275,637
672,507,275,637
673,507,275,637
674,507,275,637
675,507,275,637
676,507,275,637
677,507,275,637
678,507,275,637
679,507,275,637
680,507,275,637
681,507,275,637
682,507,275,637
683,507,275,637
684,507,275,637
685,507,275,637
686,507,275,637
687,507,275,637
688,507,275,637
689,507,275,637
690,507,275,637
691,507,275,637
692,507,275,637
693,507,275,637
694,507,275,637
695,507,275,637
696,507,275,637
697,507,275,637
698,507,275,637
699,507,275,637
700,507,275,637
701,507,275,637
702,507,275,637
703,507,275,637
704,507,275,737
705,507,275,737
706,507,275,737
707,507,275,737
708,507,275,737
709,507,275,737
710,507,275,737
711,507,275,737
712,507,275,737
713,507,275,737
714,507,275,737
715,507,275,737
716,507,275,737
717,507,275,737
718,507,275,737
719,507,275,737
720,507,279,737
721,507,279,737
722,507,279,737
723,507,279,737
724,507,279,737
725,507,279,737
726,507,279,737
727,507,279,737
728,507,279,737
729,507,279,737
730,507,279,737
731,507,279,737
732,507,279,737
733,507,279,737
734,507,279,737
735,507,279,737
736,507,279,737
737,507,279,737
738,507,279,737
739,507,279,737
740,507,279,737
741,507,279,737
742,507,279,737
743,507,279,737
744,507,279,737
745,507,279,737
746,507,279,737
747,507,279,737
748,507,279,737
749,507,279,737
750,507,279,737
751,507,279,737
752,507,279,737
753,507,279,737
754,507,279,737
755,507,279,737
756,507,279,737
757,507,279,737
758,507,279,737
759,507,279,737
760,507,279,737
761,507,279,737
762,507,279,737
763,507,279,737
764,507,279,737
765,507,279,737
766,507,279,737
767,507,279,737
768,507,279,737
769,507,279,737
770,507,279,737
771,507,279,737
772,507,279,737
773,507,279,737
774,507,279,737
775,507,279,737
776,507,279,737
777,507,279,737
778,507,279,737
779,507,279,737
780,507,279,737
781,507,279,737
782,507,279,737
783,507,279,737
784,507,279,737
785,507,279,737
786,507,279,737
