"Loja","Iteracao","Train_Start","Train_End","Train_Size","Test_Start","Test_End","Test_Size","Modelo","Variante","MAE","NMAE","RRSE","R2"
"Lancaster",6,2012-07-01,2014-04-26,665,2014-04-27,2014-05-03,7,"HoltWinters","Aditiva",45.4164,2.4391,144.2488,-1.0808
"Lancaster",7,2012-07-01,2014-05-03,672,2014-05-04,2014-05-10,7,"HoltWinters","Aditiva",45.8227,2.4609,147.1602,-1.1656
"Lancaster",8,2012-07-01,2014-05-10,679,2014-05-11,2014-05-17,7,"HoltWinters","Aditiva",54.5048,2.9272,183.0072,-2.3492
"Lancaster",9,2012-07-01,2014-05-17,686,2014-05-18,2014-05-24,7,"HoltWinters","Aditiva",131.7796,7.0773,99.7889,0.0042
"Lancaster",10,2012-07-01,2014-05-24,693,2014-05-25,2014-05-31,7,"HoltWinters","Aditiva",243.8271,13.0949,126.82,-0.6083
"Lancaster",11,2012-07-01,2014-05-31,700,2014-06-01,2014-06-07,7,"HoltWinters","Aditiva",56.9435,3.0582,295.8359,-7.7519
"Lancaster",12,2012-07-01,2014-06-07,707,2014-06-08,2014-06-14,7,"HoltWinters","Aditiva",57.2862,3.0766,248.7885,-5.1896
"Philadelphia",1,2012-07-01,2014-03-22,630,2014-03-23,2014-03-29,7,"HoltWinters","Aditiva",79.0081,4.6668,134.0857,-0.7979
"Philadelphia",2,2012-07-01,2014-03-29,637,2014-03-30,2014-04-05,7,"HoltWinters","Aditiva",41.5386,2.4535,82.6901,0.3162
"Philadelphia",3,2012-07-01,2014-04-05,644,2014-04-06,2014-04-12,7,"HoltWinters","Aditiva",68.3073,4.0347,100.4506,-0.009
"Philadelphia",4,2012-07-01,2014-04-12,651,2014-04-13,2014-04-19,7,"HoltWinters","Aditiva",95.4256,5.6365,129.1681,-0.6684
"Philadelphia",5,2012-07-01,2014-04-19,658,2014-04-20,2014-04-26,7,"HoltWinters","Aditiva",56.2014,3.3196,146.139,-1.1357
"Philadelphia",6,2012-07-01,2014-04-26,665,2014-04-27,2014-05-03,7,"HoltWinters","Aditiva",24.7958,1.4646,44.7251,0.8
"Philadelphia",7,2012-07-01,2014-05-03,672,2014-05-04,2014-05-10,7,"HoltWinters","Aditiva",46.3342,2.7368,73.7798,0.4557
"Philadelphia",8,2012-07-01,2014-05-10,679,2014-05-11,2014-05-17,7,"HoltWinters","Aditiva",58.267,3.4416,100.1884,-0.0038
"Philadelphia",9,2012-07-01,2014-05-17,686,2014-05-18,2014-05-24,7,"HoltWinters","Aditiva",217.9043,12.8709,99.21,0.0157
"Philadelphia",10,2012-07-01,2014-05-24,693,2014-05-25,2014-05-31,7,"HoltWinters","Aditiva",535.1591,31.6101,145.7379,-1.124
"Philadelphia",11,2012-07-01,2014-05-31,700,2014-06-01,2014-06-07,7,"HoltWinters","Aditiva",86.7833,5.126,239.6192,-4.7417
"Philadelphia",12,2012-07-01,2014-06-07,707,2014-06-08,2014-06-14,7,"HoltWinters","Aditiva",101.6226,6.0025,214.3217,-3.5934
"Richmond",1,2012-07-01,2014-03-22,630,2014-03-23,2014-03-29,7,"HoltWinters","Aditiva",24.807,4.1622,149.915,-1.2475
"Richmond",2,2012-07-01,2014-03-29,637,2014-03-30,2014-04-05,7,"HoltWinters","Aditiva",14.996,2.5161,103.1734,-0.0645
"Richmond",3,2012-07-01,2014-04-05,644,2014-04-06,2014-04-12,7,"HoltWinters","Aditiva",22.2626,3.7353,117.3802,-0.3778
"Richmond",4,2012-07-01,2014-04-12,651,2014-04-13,2014-04-19,7,"HoltWinters","Aditiva",30.1001,5.0504,144.2408,-1.0805
"Richmond",5,2012-07-01,2014-04-19,658,2014-04-20,2014-04-26,7,"HoltWinters","Aditiva",18.7665,3.1487,168.0506,-1.8241
"Richmond",6,2012-07-01,2014-04-26,665,2014-04-27,2014-05-03,7,"HoltWinters","Aditiva",10.7399,1.802,65.506,0.5709
"Richmond",7,2012-07-01,2014-05-03,672,2014-05-04,2014-05-10,7,"HoltWinters","Aditiva",16.2473,2.7261,93.5496,0.1248
"Richmond",8,2012-07-01,2014-05-10,679,2014-05-11,2014-05-17,7,"HoltWinters","Aditiva",20.1985,3.389,125.3586,-0.5715
"Richmond",9,2012-07-01,2014-05-17,686,2014-05-18,2014-05-24,7,"HoltWinters","Aditiva",64.4702,10.8171,99.5712,0.0086
"Richmond",10,2012-07-01,2014-05-24,693,2014-05-25,2014-05-31,7,"HoltWinters","Aditiva",145.0334,24.3345,140.7794,-0.9819
"Richmond",11,2012-07-01,2014-05-31,700,2014-06-01,2014-06-07,7,"HoltWinters","Aditiva",26.264,4.4067,256.1425,-5.5609
"Richmond",12,2012-07-01,2014-06-07,707,2014-06-08,2014-06-14,7,"HoltWinters","Aditiva",29.0207,4.8692,222.7911,-3.9636
