"Avaliacao","Lucro_Mediana"
1280,12238
1281,12238
1282,12238
1283,12238
1284,12238
1285,12238
1286,12238
1287,12238
1288,12238
1289,12238
1290,12238
1291,12238
1292,12238
1293,12238
1294,12238
1295,12238
1296,12238
1297,12238
1298,12270.5
1299,12270.5
1300,12270.5
1301,12270.5
1302,12270.5
1303,12270.5
1304,12270.5
1305,12270.5
1306,12270.5
1307,12270.5
1308,12270.5
1309,12270.5
1310,12270.5
1311,12270.5
1312,12270.5
1313,12270.5
1314,12270.5
1315,12270.5
1316,12270.5
1317,12270.5
1318,12270.5
1319,12270.5
1320,12270.5
1321,12270.5
1322,12270.5
1323,12270.5
1324,12270.5
1325,12270.5
1326,12270.5
1327,12270.5
1328,12270.5
1329,12270.5
1330,12270.5
1331,12270.5
1332,12270.5
1333,12270.5
1334,12270.5
1335,12270.5
1336,12270.5
1337,12270.5
1338,12270.5
1339,12270.5
1340,12270.5
1341,12270.5
1342,12270.5
1343,12270.5
1344,12270.5
1345,12270.5
1346,12270.5
1347,12294
1348,12294
1349,12294
1350,12294
1351,12294
1352,12294
1353,12294
1354,12294
1355,12294
1356,12294
1357,12294
1358,12294
1359,12294
1360,12294
1361,12294
1362,12294
1363,12294
1364,12294
1365,12294
1366,12294
1367,12294
1368,12294
1369,12294
1370,12294
1371,12294
1372,12294
1373,12294
1374,12294
1375,12294
1376,12294
1377,12294
1378,12294
1379,12294
1380,12294
1381,12294
1382,12294
1383,12294
1384,12294
1385,12294
1386,12294
1387,12294
1388,12294
1389,12294
1390,12294
1391,12294
1392,12294
1393,12294
1394,12294
1395,12294
1396,12294
1397,12294
1398,12294
1399,12294
1400,12294
1401,12294
1402,12294
1403,12294
1404,12294
1405,12294
1406,12294
1407,12294
1408,12306.5
1409,12306.5
1410,12306.5
1411,12306.5
1412,12306.5
1413,12306.5
1414,12306.5
1415,12306.5
1416,12306.5
1417,12306.5
1418,12306.5
1419,12306.5
1420,12306.5
1421,12306.5
1422,12306.5
1423,12306.5
1424,12306.5
1425,12306.5
1426,12314.5
1427,12314.5
1428,12314.5
1429,12314.5
1430,12314.5
1431,12314.5
1432,12314.5
1433,12314.5
1434,12314.5
1435,12314.5
1436,12314.5
1437,12314.5
1438,12314.5
1439,12314.5
1440,12314.5
1441,12314.5
1442,12314.5
1443,12314.5
1444,12314.5
1445,12314.5
1446,12314.5
1447,12314.5
1448,12326.5
1449,12326.5
1450,12326.5
1451,12326.5
1452,12326.5
1453,12326.5
1454,12326.5
1455,12326.5
1456,12326.5
1457,12326.5
1458,12326.5
1459,12326.5
1460,12326.5
1461,12326.5
1462,12326.5
1463,12326.5
1464,12326.5
1465,12326.5
1466,12351
1467,12351
1468,12351
1469,12351
1470,12351
1471,12351
1472,12351
1473,12351
1474,12351
1475,12351
1476,12351
1477,12356
1478,12356
1479,12356
1480,12356
1481,12356
1482,12356
1483,12356
1484,12356
1485,12356
1486,12356
1487,12356
1488,12356
1489,12356
1490,12356
1491,12356
1492,12356
1493,12356
1494,12356
1495,12356
1496,12356
1497,12356
1498,12356
1499,12356
1500,12356
1501,12356
1502,12356
1503,12356
1504,12356
1505,12356
1506,12356
1507,12356
1508,12356
1509,12356
1510,12356
1511,12356
1512,12356
1513,12356
1514,12356
1515,12356
1516,12356
1517,12356
1518,12356
1519,12356
1520,12356
1521,12356
1522,12356
1523,12356
1524,12356
1525,12356
1526,12356
1527,12356
1528,12356
1529,12356
1530,12356
1531,12356
1532,12356
1533,12356
1534,12356
1535,12356
1536,12356
1537,12356
1538,12356
1539,12356
1540,12356
1541,12356
1542,12386.5
1543,12386.5
1544,12386.5
1545,12386.5
1546,12386.5
1547,12386.5
1548,12386.5
1549,12386.5
1550,12386.5
1551,12386.5
1552,12386.5
1553,12386.5
1554,12386.5
1555,12386.5
1556,12386.5
1557,12386.5
1558,12386.5
1559,12386.5
1560,12386.5
1561,12386.5
1562,12386.5
1563,12386.5
1564,12386.5
1565,12386.5
1566,12386.5
1567,12386.5
1568,12386.5
1569,12386.5
1570,12386.5
1571,12386.5
1572,12386.5
1573,12386.5
1574,12386.5
1575,12386.5
1576,12418.5
1577,12418.5
1578,12418.5
1579,12418.5
1580,12418.5
1581,12418.5
1582,12418.5
1583,12418.5
1584,12418.5
1585,12418.5
1586,12418.5
1587,12418.5
1588,12418.5
1589,12418.5
1590,12418.5
1591,12418.5
1592,12418.5
1593,12418.5
1594,12418.5
1595,12439
1596,12439
1597,12439
1598,12439
1599,12439
1600,12447
1601,12447
1602,12447
1603,12447
1604,12447
1605,12447
1606,12447
1607,12447
1608,12447
1609,12447
1610,12447
1611,12447
1612,12447
1613,12447
1614,12447
1615,12447
1616,12447
1617,12447
1618,12447
1619,12447
1620,12447
1621,12447
1622,12447
1623,12447
1624,12447
1625,12447
1626,12447
1627,12447
1628,12447
1629,12466.5
1630,12466.5
1631,12466.5
1632,12466.5
1633,12466.5
1634,12466.5
1635,12466.5
1636,12466.5
1637,12466.5
1638,12466.5
1639,12466.5
1640,12466.5
1641,12466.5
1642,12466.5
1643,12466.5
1644,12466.5
1645,12466.5
1646,12466.5
1647,12466.5
1648,12466.5
1649,12466.5
1650,12476.5
1651,12476.5
1652,12476.5
1653,12476.5
1654,12476.5
1655,12476.5
1656,12476.5
1657,12476.5
1658,12476.5
1659,12476.5
1660,12476.5
1661,12476.5
1662,12476.5
1663,12476.5
1664,12476.5
1665,12476.5
1666,12476.5
1667,12476.5
1668,12476.5
1669,12476.5
1670,12476.5
1671,12476.5
1672,12476.5
1673,12476.5
1674,12476.5
1675,12476.5
1676,12476.5
1677,12476.5
1678,12476.5
1679,12476.5
1680,12476.5
1681,12476.5
1682,12476.5
1683,12476.5
1684,12476.5
1685,12476.5
1686,12476.5
1687,12476.5
1688,12476.5
1689,12476.5
1690,12476.5
1691,12476.5
1692,12476.5
1693,12476.5
1694,12476.5
1695,12476.5
1696,12476.5
1697,12476.5
1698,12476.5
1699,12476.5
1700,12476.5
1701,12476.5
1702,12476.5
1703,12476.5
1704,12476.5
1705,12476.5
1706,12476.5
1707,12476.5
1708,12476.5
1709,12476.5
1710,12476.5
1711,12476.5
1712,12476.5
1713,12476.5
1714,12476.5
1715,12476.5
1716,12476.5
1717,12476.5
1718,12476.5
1719,12476.5
1720,12476.5
