"Loja","Variavel","Tipo","Lag","Correlacao","AbsCor"
"Richmond","TouristEvent","CCF",0,0.791971162153099,0.791971162153099
"Richmond","TouristEvent","CCF",1,0.532953436659813,0.532953436659813
"Richmond","TouristEvent","CCF",-1,0.368025941079735,0.368025941079735
"Richmond","TouristEvent","CCF",2,0.268542667435092,0.268542667435092
"Richmond","TouristEvent","CCF",28,0.21824441707708,0.21824441707708
"Richmond","TouristEvent","CCF",-28,0.205569392837778,0.205569392837778
"Richmond","TouristEvent","CCF",-27,0.193830370572581,0.193830370572581
"Richmond","TouristEvent","CCF",-26,0.126000053828937,0.126000053828937
"Richmond","Num_Employees","CCF",0,0.779368472236325,0.779368472236325
"Richmond","Num_Employees","CCF",-1,0.516041810038925,0.516041810038925
"Richmond","Num_Employees","CCF",1,0.44878827672609,0.44878827672609
"Richmond","Num_Employees","CCF",-28,0.332278000616914,0.332278000616914
"Richmond","Num_Employees","CCF",28,0.274327551406924,0.274327551406924
"Richmond","Num_Employees","CCF",-2,0.238226605380504,0.238226605380504
"Richmond","Num_Employees","CCF",27,0.225959251633204,0.225959251633204
"Richmond","Num_Employees","CCF",20,0.213847585295696,0.213847585295696
"Richmond","Pct_On_Sale","CCF",0,0.288262379100488,0.288262379100488
"Richmond","Pct_On_Sale","CCF",1,0.28159900896195,0.28159900896195
"Richmond","Pct_On_Sale","CCF",21,0.244478547621598,0.244478547621598
"Richmond","Pct_On_Sale","CCF",22,0.228864017204537,0.228864017204537
"Richmond","Pct_On_Sale","CCF",20,0.228130797554504,0.228130797554504
"Richmond","Pct_On_Sale","CCF",28,0.218145920223759,0.218145920223759
"Richmond","Pct_On_Sale","CCF",2,0.214642607100716,0.214642607100716
"Richmond","Pct_On_Sale","CCF",-1,0.209899649743552,0.209899649743552
